gateway_txn_id,order_id,merchant_id,payment_method,gateway_name,gross_amount,fee_amount,net_amount,currency,status,customer_name,payer_email,initiated_at,completed_at,settled_at,bank_settlement_ref
PG169300000000000,OD169300000000000,MERCH_DIST_001,E_WALLET,GOPAY,212000,6291,205709,IDR,SETTLED,Agen Wati,agen.wati@gmail.com,2023-08-13 13:00:00,2023-08-13 13:02:00,2023-08-14 04:02:00,JYQ7-1ZFF-NOV5-OFAM
PG169300000007963,OD169300000007963,MERCH_DIST_001,QRIS,OVO,1030000,31860,998140,IDR,SETTLED,CV Agus,cv.agus@email.com,2023-08-22 16:00:00,2023-08-22 16:05:00,2023-08-23 19:05:00,NW85-BHXC-2KES-H551
PG169300000019878,OD169300000019878,MERCH_DIST_001,E_WALLET,SHOPEEPAY,378000,5842,372158,IDR,SETTLED,Depot Anto,depot.anto@email.com,2023-08-11 15:00:00,2023-08-11 15:05:00,2023-08-12 09:05:00,V3P4-LKCL-CECO-7NZ2
PG169300000003579,OD169300000003579,MERCH_DIST_001,E_WALLET,LINKAJA,812000,25737,786263,IDR,SETTLED,Agen Wati,agen.wati@email.com,2023-08-03 15:00:00,2023-08-03 15:05:00,2023-08-04 15:05:00,N84M-L0W6-I8J3-DRNA
PG169300000014576,OD169300000014576,MERCH_DIST_001,E_WALLET,GOPAY,288000,9340,278660,IDR,SETTLED,TB Herman,tb.herman@email.com,2023-08-16 13:00:00,2023-08-16 13:01:00,2023-08-17 06:01:00,SPK6-8DRO-6RIC-4FUM
PG169300000037765,OD169300000037765,MERCH_DIST_001,E_WALLET,GOPAY,690000,17781,672219,IDR,SETTLED,PT Mira,pt.mira@yahoo.com,2023-08-11 23:00:00,2023-08-11 23:04:00,2023-08-13 08:04:00,YBC4-8XJE-A01L-XR8O
PG169300000029808,OD169300000029808,MERCH_DIST_001,E_WALLET,DANA,536000,16649,519351,IDR,SETTLED,TB Hendra,tb.hendra@email.com,2023-08-22 17:00:00,2023-08-22 17:01:00,2023-08-24 02:01:00,JPA2-67CD-J5LM-1JRU
PG169300000046795,OD169300000046795,MERCH_DIST_001,QRIS,OVO,186000,4254,181746,IDR,SETTLED,TB Pandu,tb.pandu@email.com,2023-08-25 23:00:00,2023-08-25 23:04:00,2023-08-27 05:04:00,GTRA-87LZ-ZF21-3JG6
PG169300000069576,OD169300000069576,MERCH_DIST_001,E_WALLET,SHOPEEPAY,910000,28402,881598,IDR,SETTLED,Agen Pandu,agen.pandu@email.com,2023-08-08 12:00:00,2023-08-08 12:04:00,2023-08-09 16:04:00,EL80-8WJ2-4MOQ-BJ4S
PG169300000054351,OD169300000054351,MERCH_DIST_001,QRIS,GOPAY,604000,13571,590429,IDR,SETTLED,Agen Priyanto,agen.priyanto@email.com,2023-08-23 23:00:00,2023-08-23 23:01:00,2023-08-24 12:01:00,ZL9E-01RF-9YH5-TGRP
PG169300000057140,OD169300000057140,MERCH_DIST_001,QRIS,SHOPEEPAY,291000,9020,281980,IDR,SETTLED,CV Eko,cv.eko@mail.com,2023-09-03 23:00:00,2023-09-03 23:05:00,2023-09-05 00:05:00,KXCG-11ZZ-1Y9D-H84P
PG169300000078408,OD169300000078408,MERCH_DIST_001,E_WALLET,DANA,1112000,18999,1093001,IDR,SETTLED,UD Hendra,ud.hendra@yahoo.com,2023-09-04 14:00:00,2023-09-04 14:03:00,2023-09-05 19:03:00,6BPT-I0I3-VD45-JO6G
PG169300000012756,OD169300000012756,MERCH_DIST_001,QRIS,GOPAY,161000,2927,158073,IDR,SETTLED,Agen Novi,agen.novi@mail.com,2023-08-20 14:00:00,2023-08-20 14:03:00,2023-08-21 05:03:00,IBJM-KBQB-2WB4-1MKF
PG169300000069095,OD169300000069095,MERCH_DIST_001,QRIS,OVO,252000,7200,244800,IDR,SETTLED,CV Candra,cv.candra@mail.com,2023-08-21 14:00:00,2023-08-21 14:03:00,2023-08-22 23:03:00,SLG2-RK35-1WQ0-NQUA
PG169300000059962,OD169300000059962,MERCH_DIST_001,QRIS,LINKAJA,282000,7757,274243,IDR,SETTLED,Kios Widya,kios.widya@mail.com,2023-08-11 19:00:00,2023-08-11 19:02:00,2023-08-12 07:02:00,U3ON-LCKA-XDE6-O0M9
PG169300000092970,OD169300000092970,MERCH_DIST_001,E_WALLET,DANA,522000,11044,510956,IDR,SETTLED,CV Tri,cv.tri@email.com,2023-08-13 21:00:00,2023-08-13 21:02:00,2023-08-14 23:02:00,3YV3-K44I-A3I9-17V7
PG169300000069488,OD169300000069488,MERCH_DIST_001,QRIS,DANA,772000,12976,759024,IDR,SETTLED,CV Surya,cv.surya@email.com,2023-09-01 17:00:00,2023-09-01 17:04:00,2023-09-02 23:04:00,77IW-U9U3-YLII-U523
PG169300000055760,OD169300000055760,MERCH_DIST_001,E_WALLET,OVO,369000,7300,361700,IDR,SETTLED,PT Agus,pt.agus@email.com,2023-08-28 13:00:00,2023-08-28 13:04:00,2023-08-29 05:04:00,GT26-YCAO-UASJ-WOM3
PG169300000043578,OD169300000043578,MERCH_DIST_001,E_WALLET,OVO,438000,9185,428815,IDR,SETTLED,Kios Herman,kios.herman@yahoo.com,2023-08-27 18:00:00,2023-08-27 18:05:00,2023-08-28 09:05:00,HXUH-89P8-5PMA-MCBO
PG169300000048925,OD169300000048925,MERCH_DIST_001,QRIS,SHOPEEPAY,490000,10572,479428,IDR,SETTLED,Toko Wahyu,wahyu@mail.com,2023-08-24 19:00:00,2023-08-24 19:02:00,2023-08-25 07:02:00,DRFM-KTJ0-VJ76-9J39
PG169300000092320,OD169300000092320,MERCH_DIST_001,E_WALLET,OVO,1020000,30161,989839,IDR,SETTLED,UD Qomar,ud.qomar@gmail.com,2023-08-24 20:00:00,2023-08-24 20:02:00,2023-08-25 18:02:00,A4O8-3GSL-YRYI-7UN0
PG169300000080220,OD169300000080220,MERCH_DIST_001,QRIS,SHOPEEPAY,1280000,19398,1260602,IDR,SETTLED,CV Asep,cv.asep@gmail.com,2023-09-05 19:00:00,2023-09-05 19:01:00,2023-09-06 15:01:00,FDH1-M97Y-U31M-H67V
PG169300000081356,OD169300000081356,MERCH_DIST_001,E_WALLET,OVO,528000,11144,516856,IDR,SETTLED,Grosir Fitri,grosir.fitri@yahoo.com,2023-08-01 16:00:00,2023-08-01 16:05:00,2023-08-02 14:05:00,4DSO-FRYV-V87P-GFT3
PG169300000100142,OD169300000100142,MERCH_DIST_001,E_WALLET,GOPAY,210000,4027,205973,IDR,SETTLED,Toko Untung,untung@yahoo.com,2023-09-02 13:00:00,2023-09-02 13:01:00,2023-09-03 21:01:00,C3QV-N6P1-O4VR-6WZ8
PG169300000024432,OD169300000024432,MERCH_DIST_001,E_WALLET,OVO,186000,4991,181009,IDR,SETTLED,PT Joko,pt.joko@gmail.com,2023-08-09 18:00:00,2023-08-09 18:04:00,2023-08-10 06:04:00,26QL-BNB8-IUPO-QQ26
PG169300000117500,OD169300000117500,MERCH_DIST_001,QRIS,DANA,650000,17435,632565,IDR,SETTLED,Toko Rudi,rudi@yahoo.com,2023-08-09 18:00:00,2023-08-09 18:03:00,2023-08-10 06:03:00,1EPI-0UVC-JHD7-M4X1
PG169300000253058,OD169300000253058,MERCH_DIST_001,QRIS,DANA,522000,9442,512558,IDR,SETTLED,TB Kusuma,tb.kusuma@gmail.com,2023-08-18 23:00:00,2023-08-18 23:04:00,2023-08-20 07:04:00,9B7S-VF44-731J-2M9W
PG169300000233577,OD169300000233577,MERCH_DIST_001,QRIS,LINKAJA,528000,10677,517323,IDR,SETTLED,Toko Dian,dian@email.com,2023-08-11 20:00:00,2023-08-11 20:01:00,2023-08-13 08:01:00,D5WM-H285-PQ7C-F188
PG169300000210812,OD169300000210812,MERCH_DIST_001,QRIS,LINKAJA,654000,13201,640799,IDR,SETTLED,Warung Kiki,kiki@gmail.com,2023-08-01 18:00:00,2023-08-01 18:01:00,2023-08-02 17:01:00,27KS-V3KP-G15A-BB8Y
PG169300000211671,OD169300000211671,MERCH_DIST_001,QRIS,OVO,634000,19084,614916,IDR,SETTLED,CV Eko,cv.eko@gmail.com,2023-08-11 20:00:00,2023-08-11 20:05:00,2023-08-12 11:05:00,GXKI-0BF0-K6IX-5ZVJ
PG169300000139410,OD169300000139410,MERCH_DIST_001,E_WALLET,DANA,84000,2139,81861,IDR,SETTLED,PT Cecep,pt.cecep@mail.com,2023-08-17 17:00:00,2023-08-17 17:05:00,2023-08-18 17:05:00,6A5Q-EER9-IB1S-THO9
PG169300000302250,OD169300000302250,MERCH_DIST_001,QRIS,OVO,425000,9496,415504,IDR,SETTLED,Depot Kusuma,depot.kusuma@gmail.com,2023-08-19 19:00:00,2023-08-19 19:04:00,2023-08-20 19:04:00,ZI3H-XV53-0MIY-0ATU
PG169300000110144,OD169300000110144,MERCH_DIST_001,QRIS,GOPAY,96000,1993,94007,IDR,SETTLED,PT Tri,pt.tri@gmail.com,2023-08-02 20:00:00,2023-08-02 20:03:00,2023-08-03 10:03:00,22F7-PZ68-DSRB-P2MG
PG169300000198297,OD169300000198297,MERCH_DIST_001,QRIS,SHOPEEPAY,192000,5361,186639,IDR,SETTLED,Agen Kiki,agen.kiki@yahoo.com,2023-08-30 17:00:00,2023-08-30 17:01:00,2023-08-31 09:01:00,ME7C-8O4J-P9P5-G8LM
PG169300000100708,OD169300000100708,MERCH_DIST_001,E_WALLET,LINKAJA,553000,18647,534353,IDR,SETTLED,UD Fajar,ud.fajar@mail.com,2023-09-04 23:00:00,2023-09-04 23:05:00,2023-09-05 14:05:00,KAF9-5UYU-3AR8-31F3
PG169300000259560,OD169300000259560,MERCH_DIST_001,QRIS,SHOPEEPAY,864000,22224,841776,IDR,SETTLED,Warung Asep,asep@gmail.com,2023-08-12 20:00:00,2023-08-12 20:03:00,2023-08-14 01:03:00,FM74-J0LT-AXVT-LU39
PG169300000285948,OD169300000285948,MERCH_DIST_001,E_WALLET,DANA,64000,1045,62955,IDR,SETTLED,CV Wawan,cv.wawan@gmail.com,2023-08-02 21:00:00,2023-08-02 21:05:00,2023-08-03 20:05:00,W0IF-YNE3-2QG0-RCE7
PG169300000153587,OD169300000153587,MERCH_DIST_001,E_WALLET,LINKAJA,144000,3419,140581,IDR,SETTLED,PT Candra,pt.candra@mail.com,2023-08-20 21:00:00,2023-08-20 21:03:00,2023-08-21 13:03:00,2WQQ-UQNU-XMP1-FDDC
PG169300000319390,OD169300000319390,MERCH_DIST_001,QRIS,DANA,1041000,17726,1023274,IDR,SETTLED,Kios Susanto,kios.susanto@yahoo.com,2023-08-15 18:00:00,2023-08-15 18:05:00,2023-08-17 04:05:00,2YYT-4M7X-RISN-88F3
